Origin 	 dest 	 numPaths 	 lpath cost 	 spath cost 	 minCost 	 diff between lPath and sPath
10016	8	1	12681.037901189165	12681.037901189165	12681.037901189165	0.0
1	2	1	7.9572262269849166	7.9572262269849166	7.9572262269849166	0.0
1	3	1	5.787559465556057	5.787559465556057	5.787559465556057	0.0
1	4	1	298.60311067905565	298.60311067905565	298.60311067905565	0.0
1	5	1	1359.9521643485919	1359.9521643485919	1359.9521643485919	0.0
1	6	1	1051.1587405106177	1051.1587405106177	1051.1587405106177	0.0
1	8	1	1172.5810926746683	1172.5810926746683	1172.5810926746683	0.0
1	11	1	1027.8958985000304	1027.8958985000304	1023.7178707501055	0.0
1	12	1	64.05683885871025	64.05683885871025	64.05683885871025	0.0
1	13	1	74.33644713643338	74.33644713643338	74.33644713643338	0.0
2	1	1	6.88857250009265	6.88857250009265	6.88857250009265	0.0
2	3	1	12.676131965648707	12.676131965648707	12.676131965648707	0.0
2	4	1	305.4916831791483	305.4916831791483	305.4916831791483	0.0
2	5	1	1351.994938121607	1351.994938121607	1351.994938121607	0.0
2	6	1	1043.2015142836328	1043.2015142836328	1043.2015142836328	0.0
2	8	1	1164.6238664476834	1164.6238664476834	1164.6238664476834	0.0
2	11	1	1034.784471000123	1034.784471000123	1030.6064432501983	0.0
2	12	1	70.9454113588029	70.9454113588029	70.9454113588029	0.0
2	13	1	81.22501963652603	81.22501963652603	81.22501963652603	0.0
3	1	1	7.504128855572751	7.504128855572751	7.504128855572751	0.0
3	2	1	15.461355082557667	15.461355082557667	15.461355082557667	0.0
3	4	1	292.8155512134996	292.8155512134996	292.8155512134996	0.0
3	5	2	1367.4562932041647	1367.4562931361397	1367.4562931361397	6.802497409807984E-8
3	6	1	1058.6628693661905	1058.6628693661905	1058.6628693661905	0.0
3	8	1	1180.0852215302411	1180.0852215302411	1180.0852215302411	0.0
3	11	1	1022.1083390344743	1022.1083390344743	1017.9303112845495	0.0
3	12	1	58.26927939315419	58.26927939315419	58.26927939315419	0.0
3	13	1	68.54888767087732	68.54888767087732	68.54888767087732	0.0
4	1	1	50.93573246183697	50.93573246183697	50.93573246183697	0.0
4	2	1	58.892958688821885	58.892958688821885	58.892958688821885	0.0
4	3	1	43.43160360626422	43.43160360626422	43.43160360626422	0.0
4	5	1	1074.64074192264	1074.64074192264	1074.64074192264	0.0
4	6	1	1080.283808231868	1080.283808231868	1080.283808231868	0.0
4	8	1	1201.7061603959187	1201.7061603959187	1201.7061603959187	0.0
4	11	1	725.1147600710499	725.1147600710499	725.1147600710499	0.0
4	12	1	101.70088299941841	101.70088299941841	101.70088299941841	0.0
4	13	1	111.98049127714154	111.98049127714154	111.98049127714154	0.0
5	1	1	141.74755996476003	141.74755996476003	141.74755996476003	0.0
5	2	1	149.70478619174494	149.70478619174494	149.70478619174494	0.0
5	3	1	134.24343110918727	134.24343110918727	134.24343110918727	0.0
5	4	1	90.81182750292307	90.81182750292307	90.81182750292307	0.0
5	6	1	5.64306630922805	5.64306630922805	5.64306630922805	0.0
5	8	1	127.06541847327874	127.06541847327874	127.06541847327874	0.0
5	20009	1	36092.648550371676	36092.648550371676	36092.648550371676	0.0
5	11	1	815.9265875739729	815.9265875739729	815.9265875739729	0.0
5	12	1	192.51271050234146	192.51271050234146	192.51271050234146	0.0
5	13	1	202.7923187800646	202.7923187800646	202.7923187800646	0.0
6	1	1	450.5409838027342	450.5409838027342	450.5409838027342	0.0
6	2	2	460.1018519301115	458.49821002971913	458.49821002971913	1.603641900392347
6	3	1	443.0368549471615	443.0368549471615	443.0368549471615	0.0
6	4	1	399.60525134089727	399.60525134089727	399.60525134089727	0.0
6	5	1	308.7934238379742	308.7934238379742	308.7934238379742	0.0
6	8	1	121.4223521640507	121.4223521640507	121.4223521640507	0.0
6	11	1	1124.720011411947	1124.720011411947	1124.720011411947	0.0
6	12	1	501.3061343403157	501.3061343403157	501.3061343403157	0.0
6	13	1	511.5857426180388	511.5857426180388	511.5857426180388	0.0
8	20016	1	4809.427557152428	4809.427557152428	4809.427557152428	0.0
8	1	1	1098.6969762907077	1098.6969762907077	1098.6969762907077	0.0
8	2	2	1108.257844418085	1106.6542025176925	1106.6542025176925	1.6036419003924038
8	3	1	1091.1928474351348	1091.1928474351348	1091.1928474351348	0.0
8	4	1	1047.7612438288706	1047.7612438288706	1047.7612438288706	0.0
8	5	1	956.9494163259476	956.9494163259476	956.9494163259476	0.0
8	6	1	648.1559924879734	648.1559924879734	648.1559924879734	0.0
8	20007	1	90.82259230822358	90.82259230822358	90.82259230822358	0.0
8	20009	1	36280.019646723566	36280.019646723566	36280.019646723566	0.0
8	11	1	1772.8760038999205	1772.8760038999205	1772.8760038999205	0.0
8	12	1	1149.462126828289	1149.462126828289	1149.462126828289	0.0
8	13	1	1159.7417351060121	1159.7417351060121	1159.7417351060121	0.0
10024	20007	1	14387.290396959004	14387.290396959004	14387.290396959004	0.0
10024	13	1	12812.404592490062	12812.404592490062	12812.404592490062	0.0
11	1	1	17895.51219468279	17895.51219468279	17895.51219468279	0.0
11	2	1	17903.469420909776	17903.469420909776	17903.469420909776	0.0
11	3	1	17888.008065827216	17888.008065827216	17888.008065827216	0.0
11	4	2	18180.82362654009	18180.823617040714	18180.823617040714	9.499373845756054E-6
11	5	3	19255.46436846273	19255.464358963356	19255.464358963356	9.499373845756054E-6
11	6	1	18946.670935193408	18946.670935193408	18946.670935193408	0.0
11	8	1	19068.09328735746	19068.09328735746	19068.09328735746	0.0
11	20010	1	588.5576670890775	588.5576670890775	588.5576670890775	0.0
11	12	1	17599.229716093716	17599.229716093716	17599.229716093716	0.0
11	13	1	17609.50932437144	17609.50932437144	17609.50932437144	0.0
11	20014	1	2475.871293699793	2475.871293699793	2475.871293699793	0.0
12	1	1	296.28247858907156	296.28247858907156	296.28247858907156	0.0
12	2	1	304.2397048160565	304.2397048160565	304.2397048160565	0.0
12	3	1	288.7783497334988	288.7783497334988	288.7783497334988	0.0
12	4	1	581.5939009469985	581.5939009469985	581.5939009469985	0.0
12	5	2	1656.2346429376635	1656.2346428696385	1656.2346428696385	6.802497409807984E-8
12	6	1	1347.4412190996893	1347.4412190996893	1347.4412190996893	0.0
12	8	1	1468.86357126374	1468.86357126374	1468.86357126374	0.0
12	11	1	963.8390596413201	963.8390596413201	963.8390596413201	0.0
12	13	1	10.279608277723128	10.279608277723128	10.279608277723128	0.0
13	1	1	311.48211948605126	311.48211948605126	311.48211948605126	0.0
13	2	1	319.4393457130362	319.4393457130362	319.4393457130362	0.0
13	3	1	303.97799063047853	303.97799063047853	303.97799063047853	0.0
13	4	1	596.7935418439781	596.7935418439781	596.7935418439781	0.0
13	5	2	1671.434283834643	1671.4342837666181	1671.4342837666181	6.802497409807984E-8
13	6	1	1362.640859996669	1362.640859996669	1362.640859996669	0.0
13	8	1	1484.0632121607196	1484.0632121607196	1484.0632121607196	0.0
13	20024	1	5316.221028156438	5316.221028156438	5316.221028156438	0.0
13	11	1	979.0387005382997	979.0387005382997	979.0387005382997	0.0
13	12	1	15.199640896979691	15.199640896979691	15.199640896979691	0.0
10007	8	1	253.6062264445834	253.6062264445834	253.6062264445834	0.0
10007	20009	1	36533.62587316815	36533.62587316815	36533.62587316815	0.0
10009	5	2	1604.375464920582	1537.5823994911595	1537.5823994911595	66.79306542942254
10009	20007	1	738.248640902858	738.248640902858	738.248640902858	0.0
10009	8	1	647.4260485946345	647.4260485946345	647.4260485946345	0.0
10009	20010	1	2942.0666541542105	2942.0666541542105	2942.0666541542105	0.0
10009	20014	1	4829.380280764926	4829.380280764926	4829.380280764926	0.0
10010	11	1	12835.736194179564	12835.736194179564	12835.736194179564	0.0
10014	20009	4	74651.04154964596	74651.04152489996	74651.04152489996	2.474599750712514E-5
10014	11	1	19302.92861556494	19302.92861556494	19302.92861556494	0.0
