source 	 destination 	 fft 	 flow 	 cost(min)
3245	3022	18.1818182	4941.9557157198815	42.839061906230604
3289	3286	16.36363635	4173.924375467132	67.88779841893687
3420	6996	11.66666665	3660.3921220887305	38.48684011484421
4483	6505	88.08514385000001	268.86317301113445	88.12461936861416
3144	3142	11.4893666	14011.790819876314	36.20842599496503
3281	3282	35.454545450000005	2197.4023297879457	44.03011666763736
2658	2662	50.62503165	612.6495319197743	67.74192613775064
3415	3416	15.428580250000001	3540.229403088359	46.46387885248531
2872	6573	33.63636365	2080.5895885658497	46.39223718656326
3127	3134	13.63636365	3735.8059372692396	44.20757598689393
3145	2752	12.85714285	16715.069805634997	56.813608577565994
6573	2872	33.63636365	2629.3210011073725	66.17047601798632
3132	3047	24.1935328	4767.589816684849	63.681870469860804
3409	3401	12.5	6611.984879947217	72.93335837228044
2230	7346	150.83333335	21.2343471479847	150.83333374269677
7346	2230	150.83333335	1808.32711491591	171.48759392398716
6505	4483	88.08514385000001	13.820730000000008	88.08514412563002
3022	3245	18.1818182	5638.3310425205245	59.96018069427258
3134	3127	13.63636365	4278.961123599769	66.25369194304065
6011	6013	87.93100415	501.99386606080503	87.94284641954775
3284	3290	27.07318395	12391.626527560149	42.682029137408016
3043	3285	19.7561072	17820.823931604365	68.47873102570847
6014	6012	88.96548655	719.4138499999934	89.01602663915817
2662	2658	50.62503165	369.2404799999982	52.883498794210944
3047	3132	24.1935328	3964.278277300388	43.070396876420496
6194	6196	11.42857145	5167.597412523684	45.357766611270684
6195	6193	11.42857145	5051.782796596672	42.41685690274289
