iteration 	 stepSize
0	0.2
1	0.21000000000000002
2	0.22050000000000003
3	0.23152500000000004
4	0.24310125000000005
5	0.2552563125000001
6	0.2552563125000001
7	0.2680191281250001
8	0.2680191281250001
9	0.2814200845312501
10	0.2814200845312501
11	0.2814200845312501
12	0.2814200845312501
13	0.2814200845312501
14	0.2814200845312501
15	0.2814200845312501
16	0.2814200845312501
17	0.29549108875781266
18	0.29549108875781266
19	0.3102656431957033
20	0.3102656431957033
21	0.3102656431957033
22	0.3257789253554885
23	0.34206787162326296
24	0.3591712652044261
25	0.37712982846464743
