source 	 dest 	 demand_centralized 	 demand_DSTAP 	 pathFlows 	 tt_Centralized 	 tt_DSTAP 	 % diff 	 totalTime_Centralized 	 totalTime_DSTAP 	 gap
1	2	100.0	100.0	100.0	6.00081615217836	6.006315221039459	9.163868249991797E-4	600.081615217836	600.6315221039458	-0.5499068861098522
1	3	100.0	100.0	100.0	4.008690040421561	4.077742532961013	0.0172257001272641	400.86900404215606	407.7742532961013	-6.905249253945215
1	4	500.0	500.0	5678.168344315007	8.278070974155941	8.24439670294738	0.0040678886800670925	4139.035487077971	4122.19835147369	16.837135604280775
1	5	200.0	200.0	253.92021612944944	10.593426050200698	10.58036519537086	0.0012329207536773124	2118.6852100401397	2116.073039074172	2.6121709659678345
1	6	300.0	300.0	300.0	12.574468002589246	11.916696067484924	0.05231012039387095	3772.3404007767735	3575.008820245477	197.33158053129637
1	7	500.0	500.0	500.00000000000006	32.766348288283446	20.244363938963946	0.38215989890448354	16383.174144141723	10122.181969481973	6260.99217465975
1	8	800.0	800.0	801.7551360758856	27.26503280946755	29.679755633878035	0.08856482371706496	21812.02624757404	23743.804507102428	-1931.7782595283898
1	9	500.0	500.0	500.0000000000001	20.244589617345337	18.147800852957758	0.1035727966839631	10122.294808672668	9073.900426478878	1048.39438219379
1	10	1300.0	1300.0	1300.0000000000007	25.92715655963681	21.147800852957765	0.18433782723862235	33705.30352752785	27492.141108845095	6213.162418682758
1	11	500.0	500.0	500.00000000000006	15.411371454335832	17.108027210950628	0.11009115974149457	7705.685727167916	8554.013605475313	-848.3278783073965
1	12	200.0	200.0	1566.1563034796661	8.028871579400981	8.091467867720688	0.00779639924498295	1605.7743158801961	1618.2935735441376	-12.519257663941517
1	13	500.0	500.0	500.0	11.051672972466093	11.105901903121552	0.004906852635846488	5525.836486233046	5552.950951560776	-27.114465327729704
1	14	300.0	300.0	300.0000000000001	29.103342182891634	21.10758434900602	0.27473675647417256	8731.00265486749	6332.275304701807	2398.7273501656837
1	15	500.0	500.0	500.00000000000006	39.649970573547016	27.139613306572258	0.3155199634705707	19824.985286773506	13569.806653286128	6255.178633487378
1	16	500.0	500.0	500.00000000000017	37.994035919547855	25.15152073413074	0.3380139770518474	18997.017959773926	12575.760367065372	6421.2575927085545
1	17	400.0	400.0	400.00000000000006	42.23517371037724	39.92054633874005	0.05480331127579758	16894.069484150896	15968.21853549602	925.8509486548755
1	18	100.0	100.0	100.00000000000006	34.82863753911686	22.291703748334438	0.359960500226341	3482.863753911686	2229.170374833444	1253.6933790782423
1	19	300.0	300.0	299.9999999999999	43.97608434284387	33.88547888817325	0.22945666048852387	13192.82530285316	10165.643666451975	3027.1816364011847
1	20	300.0	300.0	300.00000000000017	39.088194465988046	26.24561602272466	0.32855389251703976	11726.458339796414	7873.684806817399	3852.7735329790157
1	21	100.0	100.0	100.00000000000007	40.46652717969982	32.245616022724676	0.20315336476660126	4046.6527179699815	3224.5616022724676	822.0911156975139
1	22	400.0	400.0	400.0	44.67930731800659	21.105901903121552	0.5276134933583565	17871.722927202638	8442.360761248621	9429.362165954017
1	23	300.0	300.0	299.9999999999999	32.43593565748691	88.10427077429246	1.7162549495918766	9730.780697246073	26431.281232287736	-16700.50053504166
