Origin	Destination	Demand	Cost
1	2	7.155	65.15320857019665
1	3	6.153	71.66431840723368
1	4	12.291	60.247212311263816
1	5	9.252	65.15320933219597
1	6	14.649	103.94522358300351
1	7	32.067	128.42746998277013
1	8	23.394	81.33403788707268
1	9	29.868	122.60173542046005
1	10	4.137	116.51992263058764
1	11	1.806	140.20740496118182
1	12	3.444	181.13308141047588
1	13	1.566	155.24464565674103
1	14	1.734	163.6543281966674
1	15	8.256	134.27742286390142
1	16	5.946	117.56675302594553
1	17	5.697	110.31885890861209
1	18	6.666	169.09581982152565
1	19	5.727	146.59916451655081
1	20	5.778	139.92002641675765
1	21	1.986	127.22748347315166
1	22	2.949	161.98970024080793
1	23	2.625	152.97179645674106
1	24	2.727	78.38560372181834
1	25	1.785	71.03611202475355
1	26	4.356	71.03611202475349
1	27	1.755	101.8825327159182
1	28	5.898	102.36910953437895
1	29	1.836	141.59079649249963
1	30	1.998	141.59079649249958
1	31	1.977	170.18821780994526
1	32	0.873	179.20190807805113
1	33	0.375	190.70766491373655
1	34	1.773	167.51339519107268
1	35	2.619	151.50441391964102
1	36	0.729	188.30548991773293
1	37	9.309	71.01405154717263
1	38	10.116	71.01405154717263
1	39	20.28	71.01405154717263
1	40	10.572	51.48651475025815
1	41	4.821	43.152681428012855
1	42	7.998	14.336816579920079
1	43	4.476	51.48651475025815
1	44	6.138	60.24719224119421
1	45	2.499	71.01405154717263
1	46	5.271	87.51358000918418
1	47	5.583	87.51358000918418
1	48	4.866	133.1944213494288
1	49	2.154	159.94303913952137
1	50	16.602	103.54865051350436
1	51	9.735	132.19278424369895
1	52	7.713	110.31885890861197
1	53	1.866	110.31885890861214
1	54	0.957	116.87971399084334
1	55	2.091	185.989657450385
1	56	3.927	140.32236447160156
1	57	0.783	130.06696481290112
1	58	1.5	125.0732905000358
1	59	0.933	92.30216891415758
1	60	1.608	101.88262219990628
1	61	3.225	92.30216891415759
1	62	4.167	92.30216891415739
1	63	1.947	101.8826221999062
1	64	3.306	96.36622627888951
1	65	3.15	96.36622627888957
1	66	3.018	96.36622627888944
1	67	6.441	103.54873999749252
1	68	3.399	119.71171639525534
1	69	2.34	119.71171639525525
1	70	2.991	161.2714621090498
1	71	1.026	181.86902337814092
1	72	0.519	196.15401074549555
1	73	2.496	173.84239548239705
1	74	0.738	184.7071305912313
1	75	3.885	147.3414535199308
1	76	3.918	127.18697971770443
1	77	0.249	188.30557940172133
1	78	14.016	71.01405154717263
1	79	14.337	71.01405154717263
1	80	5.454	71.01405154717263
1	81	4.923	82.15555027304396
1	82	9.015	148.64170479787802
1	83	2.031	127.65639321857569
1	84	2.196	116.8797139908435
1	85	3.987	138.56145966994887
1	86	1.536	101.88262219990631
1	87	1.038	100.04003954247266
1	88	1.632	141.59079649249972
1	89	1.938	161.27146210904965
1	90	1.542	173.9193395065892
1	91	1.755	151.50450340362897
1	92	3.897	151.5045034036289
1	93	0.729	151.50450340362886
1	94	1.365	99.22242457195352
1	95	0.636	188.71742970665395
1	96	5.778	71.01405154717263
1	97	1.107	159.4395822351458
1	98	0.534	173.91933950658913
2	1	7.26	48.24941344807125
2	3	0.795	6.511109878629049
2	4	2.355	17.79575176793828
2	5	1.89	0.0
2	6	2.487	38.79201425080753
2	7	4.71	66.12717035608391
2	8	5.004	38.88257357004275
2	9	3.588	76.47414451870955
2	10	1.437	64.8392920199739
2	11	0.375	81.14789011104735
2	12	1.425	129.3062561025376
2	13	0.771	96.18513063348328
2	14	0.423	108.85276498498469
2	15	2.403	79.47585965221842
2	16	1.578	106.21787734278593
2	17	1.518	98.96998322545267
2	18	1.602	157.74694413836616
2	19	1.221	135.25028883339107
2	20	1.386	128.57115073359768
2	21	0.573	113.56894605125953
2	22	0.468	148.33116281891583
2	23	0.171	137.71130502545577
2	24	1.161	67.0367280386583
2	25	0.669	59.68723634159404
2	26	1.716	59.68723634159391
2	27	0.579	59.431068398888314
2	28	1.605	78.79660529257056
2	29	0.42	99.13924269148166
2	30	0.639	99.13924269148164
2	31	0.618	127.73675349291545
2	32	0.261	136.75044376102136
2	33	0.066	148.2562005978666
2	34	0.237	125.06193087404266
2	35	0.825	109.05294960261081
2	36	0.201	145.85402560070352
2	37	1.506	19.333420936558905
2	38	1.086	19.33342093655889
2	39	2.211	19.333420936558902
2	40	2.616	9.03505043322822
2	41	1.704	31.8038057448532
2	42	3.807	40.801238207574315
2	43	1.113	9.03505043322822
2	44	1.716	17.79572792416433
2	45	0.288	19.333420936558888
2	46	1.026	35.83294939857047
2	47	1.497	35.832949398570435
2	48	0.981	79.12907313243127
2	49	0.915	100.8835241162639
2	50	2.589	61.09718619647449
2	51	1.686	89.74126459521761
2	52	2.031	98.96998322545221
2	53	0.357	98.96998322545231
2	54	0.228	103.22117656895091
2	55	0.417	172.33112002849268
2	56	0.585	126.66382704970883
2	57	0.195	114.80648012526795
2	58	0.306	111.41475307814373
2	59	0.36	78.64363149226504
2	60	0.408	59.431068398888364
2	61	1.005	78.64363149226519
2	62	1.188	78.64363149226511
2	63	0.645	59.43106839888835
2	64	0.867	82.70768885699712
2	65	0.939	82.70768885699721
