Origin 	 dest 	 numPaths 	 lpath cost 	 spath cost 	 minCost 	 diff between lPath and sPath
1	2	1	6.006315221039458	6.006315221039458	6.006315221039458	0.0
1	3	1	4.077742532961013	4.077742532961013	4.077742532961013	0.0
1	4	1	8.24439670294738	8.24439670294738	8.24439670294738	0.0
1	5	1	10.58036519537086	10.58036519537086	10.58036519537086	0.0
1	6	1	11.916696067484924	11.916696067484924	11.916696067484924	0.0
1	8	1	29.67975563387804	29.67975563387804	29.67975563387804	0.0
1	12	1	8.091467867720688	8.091467867720688	8.091467867720688	0.0
2	1	1	6.00683118066692	6.00683118066692	6.00683118066692	0.0
2	3	1	10.084573713627933	10.084573713627933	10.084573713627933	0.0
2	4	1	14.2512278836143	14.2512278836143	14.2512278836143	0.0
2	5	1	16.587196376037777	16.587196376037777	16.587196376037777	0.0
2	6	1	5.910380846445466	5.910380846445466	5.910380846445466	0.0
2	8	1	23.673440412838584	23.673440412838584	23.673440412838584	0.0
2	12	1	14.098299048387608	14.098299048387608	14.098299048387608	0.0
3	1	1	4.074502706593935	4.074502706593935	4.074502706593935	0.0
3	2	1	10.080817927633394	10.080817927633394	10.080817927633394	0.0
3	4	1	4.1666541699863675	4.1666541699863675	4.1666541699863675	0.0
3	5	1	6.502622662409847	6.502622662409847	6.502622662409847	0.0
3	6	1	15.99119877407886	15.99119877407886	15.99119877407886	0.0
3	8	1	33.75425834047198	33.75425834047198	33.75425834047198	0.0
3	12	1	4.013725334759675	4.013725334759675	4.013725334759675	0.0
4	1	1	8.237549565558187	8.237549565558187	8.237549565558187	0.0
4	2	1	14.243864786597644	14.243864786597644	14.243864786597644	0.0
4	3	1	4.163046858964251	4.163046858964251	4.163046858964251	0.0
4	5	1	2.3359684924234787	2.3359684924234787	2.3359684924234787	0.0
4	6	1	15.813072240487967	15.813072240487967	15.813072240487967	0.0
4	8	1	33.57613180688109	33.57613180688109	33.57613180688109	0.0
4	12	1	8.176772193723927	8.176772193723927	8.176772193723927	0.0
5	1	1	10.57295257092118	10.57295257092118	10.57295257092118	0.0
5	2	1	16.57926779196064	16.57926779196064	16.57926779196064	0.0
5	3	1	6.498449864327244	6.498449864327244	6.498449864327244	0.0
5	4	1	2.335403005362993	2.335403005362993	2.335403005362993	0.0
5	6	1	13.477103748064488	13.477103748064488	13.477103748064488	0.0
5	8	1	31.240163314457604	31.240163314457604	31.240163314457604	0.0
5	12	1	10.512175199086919	10.512175199086919	10.512175199086919	0.0
6	1	1	12.025752454388641	12.025752454388641	12.025752454388641	0.0
6	2	1	6.018921273721722	6.018921273721722	6.018921273721722	0.0
6	3	1	16.103494987349656	16.103494987349656	16.103494987349656	0.0
6	4	1	15.972846222897592	15.972846222897592	15.972846222897592	0.0
6	5	1	13.6374432175346	13.6374432175346	13.6374432175346	0.0
6	8	1	17.763059566393117	17.763059566393117	17.763059566393117	0.0
6	12	1	20.117220322109333	20.117220322109333	20.117220322109333	0.0
8	1	1	30.71743856191715	30.71743856191715	30.71743856191715	0.0
8	2	1	24.71060738125023	24.71060738125023	24.71060738125023	0.0
8	3	1	34.79518109487816	34.79518109487816	34.79518109487816	0.0
8	4	1	34.6645323304261	34.6645323304261	34.6645323304261	0.0
8	5	1	32.32912932506311	32.32912932506311	32.32912932506311	0.0
8	6	1	18.691686107528508	18.691686107528508	18.691686107528508	0.0
8	12	1	38.80890642963784	38.80890642963784	38.80890642963784	0.0
12	1	1	8.087746750733109	8.087746750733109	8.087746750733109	0.0
12	2	1	14.094061971772566	14.094061971772566	14.094061971772566	0.0
12	3	1	4.0132440441391735	4.0132440441391735	4.0132440441391735	0.0
12	4	1	8.17989821412554	8.17989821412554	8.17989821412554	0.0
12	5	1	10.51586670654902	10.51586670654902	10.51586670654902	0.0
12	6	1	20.00444281821803	20.00444281821803	20.00444281821803	0.0
12	8	1	37.76750238461115	37.76750238461115	37.76750238461115	0.0
