IterationNo	solveNetTime (ms)
0	7.0
1	8.0
2	10.0
3	12.0
4	22.0
5	33.0
6	44.0
7	71.0
8	89.0
9	104.0
10	128.0
11	221.0
12	242.0
13	158.0
14	312.0
15	501.0
16	360.0
17	391.0
18	703.0
19	1134.0
20	1345.0
21	650.0
22	338.0
23	504.0
24	549.0
25	921.0
26	1298.0
27	1844.0
28	1387.0
29	1928.0
30	1815.0
31	1767.0
32	1765.0
33	1736.0
34	6803.0
35	18376.0
36	3686.0
37	2521.0
38	2533.0
39	2083.0
40	1569.0
41	1024.0
42	1336.0
43	1267.0
44	1430.0
45	1062.0
46	1533.0
47	1268.0
48	1315.0
49	997.0
50	892.0
51	2109.0
52	1907.0
53	1815.0
54	1750.0
55	1703.0
56	1831.0
57	1768.0
58	1768.0
59	1761.0
60	1968.0
61	1805.0
62	1551.0
63	1640.0
64	1765.0
65	2520.0
66	2278.0
67	1933.0
68	1898.0
69	1911.0
70	1776.0
71	2164.0
72	2157.0
73	2127.0
74	2176.0
75	2109.0
76	2112.0
77	2038.0
78	2058.0
79	2002.0
80	1955.0
81	1935.0
82	1961.0
83	1563.0
84	1843.0
85	1787.0
86	1345.0
87	802.0
88	952.0
89	912.0
90	913.0
91	767.0
92	736.0
93	821.0
94	790.0
95	845.0
96	844.0
97	860.0
98	2158.0
99	1970.0
100	3541.0
101	3493.0
102	3270.0
103	3203.0
104	3158.0
105	2941.0
106	2918.0
107	2975.0
108	2972.0
109	2913.0
110	2952.0
111	2899.0
112	2824.0
113	2847.0
114	2841.0
115	2883.0
116	2785.0
117	2732.0
118	2785.0
119	2706.0
120	2705.0
121	2705.0
122	2667.0
123	2712.0
124	2629.0
125	2559.0
126	2593.0
127	2596.0
128	2554.0
129	2596.0
130	2516.0
131	2501.0
132	2455.0
133	2502.0
134	2531.0
135	2790.0
136	2547.0
137	2475.0
138	2518.0
139	2522.0
140	2498.0
141	2305.0
142	2448.0
143	2524.0
144	2489.0
145	2249.0
146	2525.0
147	2357.0
148	2231.0
149	2262.0
150	2187.0
151	2225.0
152	2183.0
153	2264.0
154	2207.0
155	2224.0
156	2080.0
157	2053.0
158	2090.0
159	2054.0
160	2078.0
161	2018.0
162	2073.0
163	1983.0
164	1942.0
165	1960.0
166	1961.0
167	1931.0
168	1875.0
169	1857.0
170	1890.0
171	1895.0
172	1821.0
173	1757.0
174	1765.0
175	1749.0
176	1723.0
177	1721.0
178	1650.0
179	1637.0
180	1612.0
