IterationNo	Gap
0	1.0
1	0.9969449485666101
2	0.7649267812580341
3	0.748619140411662
4	0.357427755153113
5	0.2187334704408086
6	0.2534056577995303
7	0.16001741856828955
8	0.09066302350972122
9	0.07205113063524682
10	0.07359136334198557
11	0.06186175299362462
12	0.05903670860032839
13	0.0529054570871601
14	0.04396803309182795
15	0.03655560012593473
16	0.0339866635423649
17	0.036052502932443775
18	0.018761184069931436
19	0.02124230903964397
20	0.014802202815784371
21	0.017407612781884074
22	0.013426469859945334
23	0.01017556696687294
24	0.00778280996654801
25	0.007473926384379381
26	0.007977735799461705
27	0.008010545037512196
28	0.006327316755015078
29	0.004708497741754747
30	0.0028686117317185955
31	0.0025841248971557595
32	0.002313615940549796
33	0.002111862062992298
34	0.0019496559530234325
35	0.003206932167562182
36	0.003540026890961334
37	0.0014784983638338467
38	0.0010087710857052956
39	9.127887341171537E-4
40	8.365347404089007E-4
41	7.74511911107556E-4
42	7.321301885683251E-4
43	6.904161046743518E-4
44	6.717525302235572E-4
45	5.858394953623947E-4
46	5.340391424012436E-4
47	5.002142150097866E-4
48	4.973390891185314E-4
49	4.726965823399487E-4
50	4.3027517031524187E-4
51	4.095279088108805E-4
52	4.33420500970394E-4
53	4.2018347462891015E-4
54	3.9873885832042433E-4
55	3.763417035052008E-4
56	3.6143437796287703E-4
57	3.4583595999304606E-4
58	3.301853720333314E-4
59	3.1481239709385545E-4
60	2.9989151246945234E-4
61	2.855119048001953E-4
62	2.717155695248774E-4
63	2.585164148324326E-4
64	2.4591101039994623E-4
65	2.3958545425017963E-4
66	2.2943530706487358E-4
67	2.2001553526274087E-4
68	2.0494996237518937E-4
69	1.8977781640938662E-4
70	1.7593340932930968E-4
71	1.6363243721317922E-4
72	1.527397370502115E-4
73	1.430427630305653E-4
74	1.3433967026243998E-4
75	1.264601918059549E-4
76	1.1926776787718474E-4
77	1.1265558854800517E-4
78	1.065402547525407E-4
79	1.0085614942056953E-4
80	9.555173395925376E-5
81	9.058551078344745E-5
82	8.59238875832169E-5
83	8.153937580868131E-5
84	7.740861322669268E-5
85	7.351210101447236E-5
86	6.983204078558902E-5
87	6.635404207411266E-5
88	6.205122974911603E-5
89	5.8010759394044875E-5
90	5.498830097894203E-5
91	5.2198309786755104E-5
92	4.958332847537772E-5
93	4.7116972409333435E-5
94	4.4786412185082725E-5
95	4.258263762357828E-5
96	4.04979767992808E-5
97	3.852568919526789E-5
98	3.673944349524838E-5
99	3.328178877592958E-5
100	3.088581951560254E-5
101	2.4765465146958654E-5
102	2.4163332735915866E-5
103	2.3950547064499617E-5
104	2.362950506484829E-5
105	2.315594806057142E-5
106	2.2567283171737174E-5
107	2.190634092202881E-5
108	2.1202212692417177E-5
109	2.0475544314724203E-5
110	1.9740741633023084E-5
111	1.900695469503333E-5
112	1.82809321794819E-5
113	1.756848982625847E-5
114	1.6871453103139977E-5
115	1.6192850692764438E-5
116	1.5534294935948267E-5
117	1.4896677710263262E-5
118	1.4280590409310179E-5
119	1.3685983132227797E-5
120	1.3113318856783351E-5
121	1.2561907541730477E-5
122	1.2032287424190713E-5
123	1.1522934373009441E-5
124	1.1033771167179296E-5
125	1.0564877651941806E-5
126	1.0114508656955401E-5
127	9.683272588656422E-6
128	9.269368484443596E-6
129	8.873103035322849E-6
130	8.493019011068803E-6
131	8.129312105253916E-6
132	7.780309530525109E-6
133	7.447098184787393E-6
134	7.127721596389414E-6
135	6.821633345754918E-6
136	6.528881552503307E-6
137	6.248415285403652E-6
138	5.980077048439725E-6
139	5.723231290111208E-6
140	5.477395945696628E-6
141	5.242066453803318E-6
142	5.0167550482704826E-6
143	4.801306343060752E-6
144	4.595251840489034E-6
145	4.39773385918496E-6
146	4.208935199145891E-6
147	4.0279862025816016E-6
148	3.855142287623181E-6
149	3.6893195843878956E-6
150	3.530790409711493E-6
151	3.3795258624902402E-6
152	3.2344946448992218E-6
153	3.0954624536949638E-6
154	2.9627490222283726E-6
155	2.8354943706343505E-6
156	2.7138509776092334E-6
157	2.5974800096362216E-6
158	2.486136193358135E-6
159	2.3791686808438683E-6
160	2.2777534500750818E-6
161	2.1811764840951042E-6
162	2.0886761274985233E-6
163	2.0001932776736453E-6
164	1.915392402684901E-6
165	1.8343833080303185E-6
166	1.7565126169127865E-6
167	1.6820942638773317E-6
168	1.6108175064921681E-6
169	1.5424208985592713E-6
170	1.4770007962239262E-6
171	1.4145375644147862E-6
172	1.3542989946158102E-6
173	1.2971191262201032E-6
174	1.242142709134697E-6
175	1.1895533359451704E-6
176	1.139057445920244E-6
177	1.09069920095628E-6
178	1.0447883151964987E-6
179	1.0003381358814067E-6
180	9.580223941929589E-7
181	9.174439823400604E-7
